groupz    galz    R200    Sigma    Lgroup    Nmemb    Mgroup    DeltaLSS    dR200    MassBest    nI    nB    gReI    gReB    diskhI-tot    diskhB-tot    bulgeRe-I    bulgeRe-B    diskInc-I    diskInc-B    SFRBest    sSFRBest    B-I    Jmag    Hmag    Kmag    BulgeMass    DiskMass    FUV-NUV    umag    gmag    rmag    imag    zmag    
0.05275     0.05405     0.271     264.8     3.2184e+10       5     2.3743e+12      0.001     3.342     5.8100e+09       1.84       2.03       5.253       7.921     NA    NA    NA    NA    NA    NA     0.2226     .8307e-11       0.903     16.701     NA    NA    NA    NA    -0.131     NA    NA    NA    NA    NA    
0.05275     0.05204     0.271     264.8     3.2184e+10       5     2.3743e+12      0.001     2.375     1.2600e+10       1.93       1.97       2.360       2.338     NA    NA      1.400       0.934      67.061      66.900      0.9747     .7360e-11       1.145     16.604     16.376     17.494     .1652e+09      .8856e+09      -2.948     NA    NA    NA    NA    NA    
0.05275     0.05238     0.271     264.8     3.2184e+10       5     2.3743e+12      0.001     1.766     9.3100e+08       1.40       0.95       3.691       3.296       1.883       2.130       3.031       2.224      50.508      50.508      0.6797     .3004e-10       0.670     16.729     NA    17.621     .5957e+08      .5149e+08       0.368     NA    NA    NA    NA    NA    
0.05275     0.05321     0.271     264.8     3.2184e+10       5     2.3743e+12      0.001     1.529     1.7900e+09       1.98       1.43       3.186       3.191       1.300       1.644       0.914       0.914      35.314      35.314      0.3515     .9636e-10       0.547     16.800     16.873     17.404     .1893e+08      .4359e+08       0.037     NA    NA    NA    NA    NA    
0.05275     0.05230     0.271     264.8     3.2184e+10       5     2.3743e+12      0.001     0.000     3.0800e+10     NA    NA    NA    NA    NA    NA      0.842       0.668      58.660      58.660      0.3685     .1965e-11       1.337     14.830     14.326     14.613     .3281e+10      .8096e+10       0.323     NA    NA    NA    NA    NA    
0.05270     0.05283     0.288     161.5     3.6531e+10       5     2.8614e+12      0.149     0.838     8.0600e+08       0.68       0.53       2.600       2.599       1.754       1.776     -98.000     NA    -98.000     NA     1.0892     .3514e-09       0.770     17.697     17.181     18.312     NA    NA     0.687     NA    NA    NA    NA    NA    
0.05270     0.05316     0.288     161.5     3.6531e+10       5     2.8614e+12      0.149     0.000     1.2600e+10       1.43       1.39       4.347       5.017       2.235       2.661     NA    -98.000     NA    -98.000      2.2873     .8153e-10       0.683     15.148     14.470     15.396     NA    NA     0.249     NA    NA    NA    NA    NA    
0.05270     0.05280     0.288     161.5     3.6531e+10       5     2.8614e+12      0.149     1.453     9.6600e+09       0.98       0.85       3.519       4.033       2.111       2.496       0.447       1.688      72.680      71.828      5.7302     .9319e-10       1.320     15.585     15.016     15.000     NA    .4206e+09       0.737     NA    NA    NA    NA    NA    
0.05270     0.05309     0.288     161.5     3.6531e+10       5     2.8614e+12      0.149     1.660     3.2600e+09       1.26       0.93       1.511       1.516       0.872       0.917     NA    NA    NA    NA     5.8305     .7885e-09       0.877     15.916     16.020     16.057     NA    NA     0.679     NA    NA    NA    NA    NA    
0.05270     0.05169     0.288     161.5     3.6531e+10       5     2.8614e+12      0.149     2.077     1.8000e+09       1.92       2.15       3.789       5.255     NA    NA      2.485       1.913      41.562      41.562      0.3268     .8153e-10       0.529     17.505     15.976     16.024     .4080e+08      .6182e+08       0.219     NA    NA    NA    NA    NA    
